role_id,role_name,user_id,username,event_count,first_event,last_event,source_types
1392210116924674304,Bachata,633012337519099914,sqveeb,2,2025-02-05 23:30:00,2025-03-12 22:00:00,schedule_bot
1392210116924674304,Bachata,652350434966634526,kozykozy,2,2025-01-29 23:30:00,2025-03-05 23:00:00,schedule_bot
1392210116924674304,Bachata,249373049214861313,hypophrenia,1,2025-03-19 22:00:00,2025-03-19 22:00:00,schedule_bot
1392210116924674304,Bachata,299843010386984981,red.riding.hood,1,2025-03-19 22:00:00,2025-03-19 22:00:00,schedule_bot
1392210116924674304,Bachata,618060042695868444,sirluni,1,2025-02-05 23:30:00,2025-02-05 23:30:00,schedule_bot
1392210116924674304,Bachata,359819140263051265,georgebraham,1,2025-01-29 23:30:00,2025-01-29 23:30:00,schedule_bot
1392210116924674304,Bachata,821214940719218720,sqveeb,1,2025-01-29 23:30:00,2025-01-29 23:30:00,schedule_bot
1392213330457923584,Beyond Dance,211750261922725888,basic_bit,9,2025-01-30 23:00:00,manual_collection,"manual_discord_interest,schedule_bot"
1392213330457923584,Beyond Dance,105427667146293248,kiotakashi,3,2025-01-30 23:00:00,2025-02-13 23:00:00,schedule_bot
1392213330457923584,Beyond Dance,261014673678270464,red.riding.hood,2,2025-01-30 23:00:00,2025-02-20 23:00:00,schedule_bot
1392213330457923584,Beyond Dance,821214940719218720,mrwattsvr,2,2025-01-30 23:00:00,2025-02-06 23:00:00,schedule_bot
1392213330457923584,Beyond Dance,264292721542430720,mrmaximus97,1,2025-07-15 23:00:00,2025-07-15 23:00:00,schedule_bot
1392213330457923584,Beyond Dance,249373049214861313,hypophrenia,1,2025-06-17 23:00:00,2025-06-17 23:00:00,schedule_bot
1392213330457923584,Beyond Dance,708145548976455680,sqveeb,1,2025-05-06 23:00:00,2025-05-06 23:00:00,schedule_bot
1392213330457923584,Beyond Dance,182009410837544960,kitpup,1,2025-02-20 23:00:00,2025-02-20 23:00:00,schedule_bot
1392213330457923584,Beyond Dance,215954273920483328,passtheketchup,1,2025-02-20 23:00:00,2025-02-20 23:00:00,schedule_bot
1392213330457923584,Beyond Dance,233643508416774145,terminallyeevee,1,2025-02-13 23:00:00,2025-02-13 23:00:00,schedule_bot
1392213330457923584,Beyond Dance,618060042695868444,kiotakashi,1,2025-02-06 23:00:00,2025-02-06 23:00:00,schedule_bot
1392213330457923584,Beyond Dance,699933716415512616,midori52,1,2025-02-06 23:00:00,2025-02-06 23:00:00,schedule_bot
1392213330457923584,Beyond Dance,700373107843661824,HotaruChim,1,manual_collection,manual_collection,manual_discord_interest
1392213330457923584,Beyond Dance,278217168489807872,Lia,1,manual_collection,manual_collection,manual_discord_interest
1392213330457923584,Beyond Dance,397830659235774464,beta / Lis,1,manual_collection,manual_collection,manual_discord_interest
1392213330457923584,Beyond Dance,686914103804952576,roguewitxh,1,manual_collection,manual_collection,manual_discord_interest
1392213330457923584,Beyond Dance,428436921761398784,theblindprophet,1,manual_collection,manual_collection,manual_discord_interest
1392210837330067712,Blender/Unity,211750261922725888,basic_bit,28,2025-01-29 01:00:00,2025-08-06T01:00:00+00:00,"discord_scheduled,schedule_bot"
1392210837330067712,Blender/Unity,764697065351544863,wickedproxy,11,2025-01-29 01:00:00,2025-04-02 00:00:00,schedule_bot
1392210837330067712,Blender/Unity,261014673678270464,kitpup,8,2025-01-29 01:00:00,2025-05-28 00:00:00,schedule_bot
1392210837330067712,Blender/Unity,105427667146293248,basic_bit,4,2025-01-29 01:00:00,2025-06-04 00:00:00,schedule_bot
1392210837330067712,Blender/Unity,831383622199541790,sqveeb,4,2025-02-12 01:00:00,2025-03-12 00:00:00,schedule_bot
1392210837330067712,Blender/Unity,249373049214861313,hypophrenia,3,2025-03-12 00:00:00,2025-06-18 00:00:00,schedule_bot
1392210837330067712,Blender/Unity,126086140846407680,basic_bit,3,2025-02-19 01:00:00,2025-03-05 01:00:00,schedule_bot
1392210837330067712,Blender/Unity,821214940719218720,mrwattsvr,3,2025-01-29 01:00:00,2025-02-12 02:00:00,schedule_bot
1392210837330067712,Blender/Unity,385523000549703682,basic_bit,3,2025-01-29 01:00:00,2025-02-12 01:00:00,schedule_bot
1392210837330067712,Blender/Unity,510003485417275393,kitpup,2,2025-02-26 01:00:00,2025-03-12 00:00:00,schedule_bot
1392210837330067712,Blender/Unity,708145548976455680,shyrivers,2,2025-02-12 01:00:00,2025-03-12 00:00:00,schedule_bot
1392210837330067712,Blender/Unity,1063573805160747068,sqveeb,2,2025-02-05 01:00:00,2025-02-12 01:00:00,schedule_bot
1392210837330067712,Blender/Unity,209711249343119360,basic_bit,1,2025-07-02 00:00:00,2025-07-02 00:00:00,schedule_bot
1392210837330067712,Blender/Unity,248590944004341761,wiccke,1,2025-06-11 00:00:00,2025-06-11 00:00:00,schedule_bot
1392210837330067712,Blender/Unity,410270160406970369,nekoyori,1,2025-05-07 00:00:00,2025-05-07 00:00:00,schedule_bot
1392210837330067712,Blender/Unity,481277433291603977,mercuryingemini,1,2025-03-26 00:00:00,2025-03-26 00:00:00,schedule_bot
1392210837330067712,Blender/Unity,965281440046653512,wickedproxy,1,2025-03-12 00:00:00,2025-03-12 00:00:00,schedule_bot
1392210837330067712,Blender/Unity,468614801896243200,danielmight,1,2025-02-12 02:00:00,2025-02-12 02:00:00,schedule_bot
1392210837330067712,Blender/Unity,106429894430302208,blackbelt33,1,2025-01-29 01:00:00,2025-01-29 01:00:00,schedule_bot
