event_name,username,role_id,role_name,source,notes
VKET – Yoga / Stretching – BASICBIT,Aka-Gitsune,1.3922105664075244e+18,YOGA,manual_discord_interests,Repeats every other Thursday; modal showed 28 interested but only 25 names accessible
VKET – Yoga / Stretching – BASICBIT,BASIC,1.3922105664075244e+18,YOGA,manual_discord_interests,Repeats every other Thursday; modal showed 28 interested but only 25 names accessible
VKET – Yoga / Stretching – BASICBIT,Chris Venus Angel,1.3922105664075244e+18,YOGA,manual_discord_interests,Repeats every other Thursday; modal showed 28 interested but only 25 names accessible
VKET – Yoga / Stretching – BASICBIT,CLAW504,1.3922105664075244e+18,YOGA,manual_discord_interests,Repeats every other Thursday; modal showed 28 interested but only 25 names accessible
VKET – Yoga / Stretching – BASICBIT,Daniel Might,1.3922105664075244e+18,YOGA,manual_discord_interests,Repeats every other Thursday; modal showed 28 interested but only 25 names accessible
VKET – Yoga / Stretching – BASICBIT,Embryonic,1.3922105664075244e+18,YOGA,manual_discord_interests,Repeats every other Thursday; modal showed 28 interested but only 25 names accessible
VKET – Yoga / Stretching – BASICBIT,FOXY,1.3922105664075244e+18,YOGA,manual_discord_interests,Repeats every other Thursday; modal showed 28 interested but only 25 names accessible
VKET – Yoga / Stretching – BASICBIT,HotaruChim,1.3922105664075244e+18,YOGA,manual_discord_interests,Repeats every other Thursday; modal showed 28 interested but only 25 names accessible
VKET – Yoga / Stretching – BASICBIT,Hunnibunny,1.3922105664075244e+18,YOGA,manual_discord_interests,Repeats every other Thursday; modal showed 28 interested but only 25 names accessible
VKET – Yoga / Stretching – BASICBIT,Jettybandit,1.3922105664075244e+18,YOGA,manual_discord_interests,Repeats every other Thursday; modal showed 28 interested but only 25 names accessible
VKET – Yoga / Stretching – BASICBIT,Liv A Black Lung Creechur,1.3922105664075244e+18,YOGA,manual_discord_interests,Repeats every other Thursday; modal showed 28 interested but only 25 names accessible
VKET – Yoga / Stretching – BASICBIT,LoveUniversal7,1.3922105664075244e+18,YOGA,manual_discord_interests,Repeats every other Thursday; modal showed 28 interested but only 25 names accessible
VKET – Yoga / Stretching – BASICBIT,Minz,1.3922105664075244e+18,YOGA,manual_discord_interests,Repeats every other Thursday; modal showed 28 interested but only 25 names accessible
VKET – Yoga / Stretching – BASICBIT,Misaki (みさき),1.3922105664075244e+18,YOGA,manual_discord_interests,Repeats every other Thursday; modal showed 28 interested but only 25 names accessible
VKET – Yoga / Stretching – BASICBIT,Mitey,1.3922105664075244e+18,YOGA,manual_discord_interests,Repeats every other Thursday; modal showed 28 interested but only 25 names accessible
VKET – Yoga / Stretching – BASICBIT,MrMaximus97,1.3922105664075244e+18,YOGA,manual_discord_interests,Repeats every other Thursday; modal showed 28 interested but only 25 names accessible
VKET – Yoga / Stretching – BASICBIT,Moonstress,1.3922105664075244e+18,YOGA,manual_discord_interests,Repeats every other Thursday; modal showed 28 interested but only 25 names accessible
VKET – Yoga / Stretching – BASICBIT,Queen_Of_Hearts,1.3922105664075244e+18,YOGA,manual_discord_interests,Repeats every other Thursday; modal showed 28 interested but only 25 names accessible
VKET – Yoga / Stretching – BASICBIT,roguewitxh,1.3922105664075244e+18,YOGA,manual_discord_interests,Repeats every other Thursday; modal showed 28 interested but only 25 names accessible
VKET – Yoga / Stretching – BASICBIT,Sakari,1.3922105664075244e+18,YOGA,manual_discord_interests,Repeats every other Thursday; modal showed 28 interested but only 25 names accessible
VKET – Yoga / Stretching – BASICBIT,TouchMeSama,1.3922105664075244e+18,YOGA,manual_discord_interests,Repeats every other Thursday; modal showed 28 interested but only 25 names accessible
VKET – Yoga / Stretching – BASICBIT,Tsukiko VT,1.3922105664075244e+18,YOGA,manual_discord_interests,Repeats every other Thursday; modal showed 28 interested but only 25 names accessible
VKET – Yoga / Stretching – BASICBIT,UltraSharkAretemente,1.3922105664075244e+18,YOGA,manual_discord_interests,Repeats every other Thursday; modal showed 28 interested but only 25 names accessible
VKET – Yoga / Stretching – BASICBIT,Xanori,1.3922105664075244e+18,YOGA,manual_discord_interests,Repeats every other Thursday; modal showed 28 interested but only 25 names accessible
Beyond Dance w/ NJNA,BASIC,1.3922133304579236e+18,Beyond Dance,manual_discord_interests,7 Interested list captured in full
Beyond Dance w/ NJNA,★NJNΛ* (NJNA),1.3922133304579236e+18,Beyond Dance,manual_discord_interests,7 Interested list captured in full
Beyond Dance w/ NJNA,HotaruChim,1.3922133304579236e+18,Beyond Dance,manual_discord_interests,7 Interested list captured in full
Beyond Dance w/ NJNA,Lia,1.3922133304579236e+18,Beyond Dance,manual_discord_interests,7 Interested list captured in full
Beyond Dance w/ NJNA,beta / Lis,1.3922133304579236e+18,Beyond Dance,manual_discord_interests,7 Interested list captured in full
Beyond Dance w/ NJNA,roguewitxh,1.3922133304579236e+18,Beyond Dance,manual_discord_interests,7 Interested list captured in full
Beyond Dance w/ NJNA,theblindprophet,1.3922133304579236e+18,Beyond Dance,manual_discord_interests,7 Interested list captured in full
Guide to Go-Go Dancing – Gregorif,Adzuki (♂),1.3922111495958692e+18,GOGO Dance,manual_discord_interests,Names from Interested tab
Guide to Go-Go Dancing – Gregorif,Astrild,1.3922111495958692e+18,GOGO Dance,manual_discord_interests,Names from Interested tab
Guide to Go-Go Dancing – Gregorif,BASIC,1.3922111495958692e+18,GOGO Dance,manual_discord_interests,Names from Interested tab
Guide to Go-Go Dancing – Gregorif,Chimera IX,1.3922111495958692e+18,GOGO Dance,manual_discord_interests,Names from Interested tab
Guide to Go-Go Dancing – Gregorif,Daniel Might,1.3922111495958692e+18,GOGO Dance,manual_discord_interests,Names from Interested tab
Guide to Go-Go Dancing – Gregorif,Gregorif,1.3922111495958692e+18,GOGO Dance,manual_discord_interests,Names from Interested tab
ASL (Sign Language) – WarDragon,Speck,1.392210986387116e+18,ASL Class,manual_discord_interests,Collected across two scroll segments
ASL (Sign Language) – WarDragon,FOXY,1.392210986387116e+18,ASL Class,manual_discord_interests,Collected across two scroll segments
ASL (Sign Language) – WarDragon,Judgbin,1.392210986387116e+18,ASL Class,manual_discord_interests,Collected across two scroll segments
ASL (Sign Language) – WarDragon,Kresny,1.392210986387116e+18,ASL Class,manual_discord_interests,Collected across two scroll segments
ASL (Sign Language) – WarDragon,LunAqua,1.392210986387116e+18,ASL Class,manual_discord_interests,Collected across two scroll segments
ASL (Sign Language) – WarDragon,MISCellaneous Bowl,1.392210986387116e+18,ASL Class,manual_discord_interests,Collected across two scroll segments
ASL (Sign Language) – WarDragon,Otto_1996,1.392210986387116e+18,ASL Class,manual_discord_interests,Collected across two scroll segments
ASL (Sign Language) – WarDragon,Sqveeb,1.392210986387116e+18,ASL Class,manual_discord_interests,Collected across two scroll segments
ASL (Sign Language) – WarDragon,SmallFry3694,1.392210986387116e+18,ASL Class,manual_discord_interests,Collected across two scroll segments
ASL (Sign Language) – WarDragon,Tsukiko VT,1.392210986387116e+18,ASL Class,manual_discord_interests,Collected across two scroll segments
ASL (Sign Language) – WarDragon,Xanori,1.392210986387116e+18,ASL Class,manual_discord_interests,Collected across two scroll segments
ASL (Sign Language) – WarDragon,deleted_user_5e1181afed13,1.392210986387116e+18,ASL Class,manual_discord_interests,Collected across two scroll segments
ASL (Sign Language) – WarDragon,neon snipe,1.392210986387116e+18,ASL Class,manual_discord_interests,Collected across two scroll segments
ASL (Sign Language) – WarDragon,theblindprophet,1.392210986387116e+18,ASL Class,manual_discord_interests,Collected across two scroll segments
Producers Chat & Jam Session,Aina,1.392213840225112e+18,Music Production,manual_discord_interests,Event showed 16 interested but only 15 names visible
Producers Chat & Jam Session,BASIC,1.392213840225112e+18,Music Production,manual_discord_interests,Event showed 16 interested but only 15 names visible
Producers Chat & Jam Session,Chimera IX,1.392213840225112e+18,Music Production,manual_discord_interests,Event showed 16 interested but only 15 names visible
Producers Chat & Jam Session,Defiant,1.392213840225112e+18,Music Production,manual_discord_interests,Event showed 16 interested but only 15 names visible
Producers Chat & Jam Session,Embryonic,1.392213840225112e+18,Music Production,manual_discord_interests,Event showed 16 interested but only 15 names visible
