user_id,role_id,username,role_name,schedule_bot_events,discord_scheduled_events,manual_interest_events
101499886884651008,1392210170439929877,no_44,Photography,2,0,0
101499886884651008,1392210291437080646,no_44,VIBE,1,0,0
101499886884651008,1392210454822260737,no_44,Esoterics,1,0,0
101499886884651008,1392210510971277453,no_44,Vocal Class,1,0,0
101499886884651008,1392210566407524382,no_44,YOGA,1,0,0
101499886884651008,1392210886487445655,no_44,Coding,1,0,0
101499886884651008,1392210986387116173,no_44,ASL Class,5,0,0
101499886884651008,1392211149595869254,no_44,GOGO Dance,1,0,0
101499886884651008,1392211365455724605,no_44,Meditation,2,0,0
101499886884651008,1392213840225112155,no_44,Music Production,1,0,0
1022547160975294566,1392210704140079285,n0cturnal._,Breakin',3,0,0
102911741737828352,1392210704140079285,mitsukaki,Breakin',0,1,0
1037506503738937426,1392210566407524382,anon3ko,YOGA,3,0,0
1037506503738937426,1392211365455724605,anon3ko,Meditation,4,0,0
103767981187694592,1392210510971277453,mitey,Vocal Class,0,1,0
103767981187694592,1392210566407524382,mitey,YOGA,0,1,1
103767981187694592,1392210704140079285,mitey,Breakin',0,1,0
103767981187694592,1392211365455724605,mitey,Meditation,0,0,1
105427667146293248,1392210777888526366,kiotakashi,DJ Class,2,0,0
105427667146293248,1392209677282185446,kiotakashi,Animation Dance,1,0,0
105427667146293248,1392210291437080646,kiotakashi,VIBE,13,0,0
105427667146293248,1392210566407524382,kiotakashi,YOGA,6,0,0
105427667146293248,1392210837330067576,kiotakashi,Blender/Unity,4,0,0
105427667146293248,1392211149595869254,kiotakashi,GOGO Dance,15,0,0
105427667146293248,1392213330457923594,kiotakashi,Beyond Dance,3,0,0
105427667146293248,1392213888522518670,kiotakashi,Sociology,1,0,0
1059979607383736361,1392210566407524382,miyuno.exe,YOGA,9,1,0
1063573805160747068,1392210777888526366,.dayhawk,DJ Class,3,0,0
1063573805160747068,1392210510971277453,.dayhawk,Vocal Class,1,1,0
1063573805160747068,1392210837330067576,.dayhawk,Blender/Unity,2,0,0
1063573805160747068,1392210886487445655,.dayhawk,Coding,1,1,0
